Month,Hour,wind,pv
9,1,19.21432766,1.22274056
9,2,28.829034,23.17687277
9,3,53.97197198,57.91140896
9,4,58.352256,92.25031962
9,5,45.07874482,124.1105414
9,6,29.12572843,152.8361473
9,7,17.67794011,166.3853536
9,8,11.13246374,161.5913564
9,9,7.235050896,137.745693
9,10,4.94325,105.903762
9,11,3.734544384,62.36361329
9,12,2.472985728,27.77280306
9,13,1.051399296,5.467783104
9,14,1.892772864,0
9,15,4.248522576,0
9,16,5.810919408,0
9,17,6.607110528,0
9,18,8.346326832,0
9,19,7.353332784,0
9,20,6.831061632,0
9,21,8.026987392,0
9,22,8.541936,0
9,23,9.708356592,0
9,0,9.216,0
9,1,8.476397136,0.95815632
9,2,16.83794434,20.18680158
9,3,32.685264,53.55400243
9,4,33.495606,83.32970717
9,5,23.1824425,98.37333532
9,6,15.14218291,104.0749369
9,7,10.14407957,111.0592639
9,8,6.718464,122.977383
9,9,4.500846,115.5728312
9,10,3.127340016,82.17680695
9,11,2.223107856,49.64950445
9,12,1.277242992,22.61616081
9,13,0.972182736,3.983206034
9,14,2.117682,0
9,15,2.962198656,0
9,16,2.771831808,0
9,17,2.117682,0
9,18,1.596897648,0
9,19,1.314623376,0
9,20,1.100933712,0
9,21,1.186906752,0
9,22,1.240578,0
9,23,1.391557968,0
9,0,1.684379952,0
9,1,1.706738688,0.581769344
9,2,3.659354496,13.60227805
9,3,7.118044272,39.65110994
9,4,5.659776,70.43968672
9,5,2.143718784,98.84660999
9,6,0.785055744,117.9073734
9,7,0.536238,104.873874
9,8,0.77175,83.07925626
9,9,1.575510912,70.40579168
9,10,2.387718,59.82574638
9,11,2.865961584,42.97903125
9,12,1.845058176,20.14064151
9,13,1.084253184,3.737811204
9,14,3.093833088,0
9,15,6.174,0
9,16,7.472896848,0
9,17,7.002306,0
9,18,5.317349328,0
9,19,3.659354496,0
9,20,3.161088,0
9,21,3.475809936,0
9,22,3.404146032,0
9,23,2.865961584,0
9,0,2.929884048,0
9,1,3.333474,0.76269165
9,2,8.411194368,18.16670003
9,3,20.48207731,48.51070598
9,4,22.17465446,84.50676574
9,5,17.89221586,116.6199069
9,6,14.66604907,136.9868692
